service_group,count
Técnico de Enfermagem,4066
Outros,2920
Médico,2146
Enfermeiro(a),1666
Pessoal da Limpeza,553
Fisioterapeutas,354
Farmacêutico,222
Auxiliar de Enfermagem,191
Recepcionista,162
Odontologista,157
Assistentes Sociais,126
Cozinheiro e Auxiliares,110
Povos indígenas em terras indígenas,99
Povos indígenas em terras,96
Técnico de Odontologia,68
Nutricionista,55
Motorista de Ambulância,52
Segurança,50
Psicólogo,44
Biomédico,25
Fonoaudiólogo,10
Médico Veterinário,4
Profissionais de Educação Física,2
Terapeuta Ocupacional,2
Técnico de Veterinário,2
