vaccination_site,uncategorized_count,total_count,categorized_count,uncategorized_percent,categorized_percent
HOSPITAL E PRONTO SOCORRO JOÃO LÚCIO PEREIRA MACHADO,141,576,435,24.479166666666664,75.52083333333334
HOSPITAL E P S DA CRIANÇA DA ZONA OESTE,124,194,70,63.91752577319587,36.08247422680412
HOSPITAL DHELPHINA AZIZ,115,724,609,15.883977900552487,84.11602209944752
HOSPITAL UNIVERSITARIO GETULIO VARGAS,87,621,534,14.009661835748794,85.99033816425121
HOSPITAL E PRONTO SOCORRO DR.ARISTOTELES PLATAO ARAUJO,79,399,320,19.799498746867165,80.20050125313283
HOSPITAL E PRONTO SOC. DA CRIANÇA DA ZONA LESTE / JOÃOZINHO,77,284,207,27.11267605633803,72.88732394366197
HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,68,804,736,8.45771144278607,91.54228855721394
HOSPITAL E PRONTO SOCORRO DA CRIANCA ZONA SUL,63,310,247,20.32258064516129,79.6774193548387
SPA ALVORADA,60,162,102,37.03703703703704,62.96296296296296
FUNDACAO DE MEDICINA TROPICAL,52,260,208,20.0,80.0
SPA COROADO,43,114,71,37.719298245614034,62.28070175438597
USF LEONOR DE FREITAS,42,146,104,28.767123287671232,71.23287671232876
SPA ELIAMEME MADY,41,99,58,41.41414141414141,58.58585858585859
USF GEBES MEDEIROS,37,71,34,52.112676056338024,47.88732394366197
SPA SAO RAIMUNDO,35,130,95,26.923076923076923,73.07692307692307
UPA JOSE RODRIGUES,31,122,91,25.40983606557377,74.59016393442623
USF SANTOS DUMONT,29,60,31,48.333333333333336,51.66666666666667
SPA ZONA SUL,28,119,91,23.52941176470588,76.47058823529412
USF ALFREDO CAMPOS,27,71,44,38.028169014084504,61.97183098591549
USF MJ PM SÁLVIO BELOTA,27,96,69,28.125,71.875
USF DEODATO DE M. LEÃO,26,37,11,70.27027027027027,29.72972972972973
UBS MORRO DA LIBERDADE,24,67,43,35.82089552238806,64.17910447761194
SPA JOVENTINA DIAS,23,180,157,12.777777777777777,87.22222222222223
MATERNIDADE ANA BRAGA,23,190,167,12.105263157894736,87.89473684210526
USF ARTHUR VIRGILIO,22,53,31,41.509433962264154,58.490566037735846
UBS THEODOMIRRO GARRIDO,20,44,24,45.45454545454545,54.54545454545454
USF IVONE LIMA,20,61,41,32.78688524590164,67.21311475409836
SPA E POLICLINICA DR JOSE LINS,18,82,64,21.951219512195124,78.04878048780488
UBS DR. LUIZ MONTENEGRO,17,49,32,34.69387755102041,65.3061224489796
SPA DANILO CORREA,16,80,64,20.0,80.0
USF DR. AUGIAS GADELHA,15,67,52,22.388059701492537,77.61194029850746
FUNDACAO CECON,14,115,101,12.173913043478262,87.82608695652175
USF BALBINA MESTRINHO,14,65,51,21.53846153846154,78.46153846153847
UBS Theomário Pinto da Costa,12,45,33,26.666666666666668,73.33333333333333
UBS José Rayol dos Santos,9,41,32,21.951219512195124,78.04878048780488
USF AMAZONAS PALHANO,9,39,30,23.076923076923077,76.92307692307693
INSTITUTO DA MULHER DONA LINDU,9,93,84,9.67741935483871,90.32258064516128
USF LEONOR BRILHANTE,8,46,38,17.391304347826086,82.6086956521739
UBS NILTON LINS,7,32,25,21.875,78.125
HOSPITAL E MATERNIDADE CHAPOT PREVOST,7,60,53,11.666666666666666,88.33333333333333
USF CF CARMEN NICOLAU,7,47,40,14.893617021276595,85.1063829787234
UPA 24HS CAMPOS SALES,6,48,42,12.5,87.5
USF CF CARLSON GRACIE,5,25,20,20.0,80.0
HOSPITAL FRANCISCA MENDES,3,92,89,3.260869565217391,96.73913043478261
MATERNIDADE AZILDA MARREIRO,3,35,32,8.571428571428571,91.42857142857143
