vaccination_site,uncategorized_percent
HOSPITAL E P S DA CRIANÇA DA ZONA OESTE,52.307692307692314
USF GEBES MEDEIROS,48.529411764705884
UBS THEODOMIRRO GARRIDO,43.18181818181818
USF IVONE LIMA,41.46341463414634
USF ARTHUR VIRGILIO,40.38461538461539
USF DEODATO DE M. LEÃO,38.88888888888889
SPA ELIAMEME MADY,38.38383838383838
HOSPITAL PORTUGUES,37.08467309753483
SPA ALVORADA,34.756097560975604
UBS ANTÔNIO LEVINO (RIO AMAZONAS) CNES 9518924,33.33333333333333
USF ALFREDO CAMPOS,33.33333333333333
UBS MORRO DA LIBERDADE,32.83582089552239
UBS DR. LUIZ MONTENEGRO,32.6530612244898
USF SANTOS DUMONT,32.20338983050847
UBS NOSSA SRA DO LIVRAMENTO CNES 20161117,32.142857142857146
UBS EFIGÊNIO SALES CNES 6355226,31.57894736842105
SPA COROADO,31.543624161073826
UBS NOSSA SRA AUXILIADORA CNES 2016079,30.76923076923077
UBS THEOMÁRIO PINTO DA COSTA,28.888888888888886
USF MJ PM SÁLVIO BELOTA,27.835051546391753
SAMBÓDROMO,26.666666666666668
UBS SÃO PEDRO CNES 3808807,26.31578947368421
SPA SAO RAIMUNDO,26.0
UPA JOSE RODRIGUES,25.78125
HOSPITAL E PRONTO SOC. DA CRIANÇA DA ZONA LESTE / JOÃOZINHO,25.696594427244584
HOSPITAL E PRONTO SOCORRO JOÃO LÚCIO PEREIRA MACHADO,25.34965034965035
UBS JOSÉ RAYOL DOS SANTOS,21.951219512195124
USF DR. AUGIAS GADELHA,21.875
FUNDACAO DE MEDICINA TROPICAL,21.53846153846154
USF LEONOR DE FREITAS,20.422535211267608
SPA ZONA SUL,20.33898305084746
HOSPITAL E PRONTO SOCORRO DR. ARISTOTELES PLATAO ARAUJO,20.094562647754138
USF BALBINA MESTRINHO,20.0
UBS ADA VIANA CNES 3809706,20.0
USF AMAZONAS PALHANO,20.0
UBS NOSSA SRA DE FÁTIMA CNES 2016109,20.0
USF CF CARLSON GRACIE,20.0
SPA E POLICLINICA DR JOSE LINS,19.166666666666668
HOSPITAL E PRONTO SOCORRO DA CRIANCA ZONA SUL,16.91542288557214
UBS PAU ROSA CNES 3809757,16.216216216216218
HOSPITAL DHELPHINA AZIZ,15.789473684210526
USF CF CARMEN NICOLAU,14.893617021276595
USF LEONOR BRILHANTE,14.285714285714285
SPA DANILO CORREA,13.761467889908257
FUNDACAO CECON,12.068965517241379
HOSPITAL UNIVERSITARIO GETULIO VARGAS,11.9935170178282
UBS NILTON LINS,11.76470588235294
HOSPITAL E MATERNIDADE CHAPOT PREVOST,11.666666666666666
UPA 24HS CAMPOS SALES,11.538461538461538
SPA JOVENTINA DIAS,11.347517730496454
HOSPITAL DE AERONAUTICA DE MANAUS,10.112359550561797
CENTRO CULTURAL DOS POVOS DA AMAZÔNIA,9.763190693809722
INSTITUTO DA MULHER DONA LINDU,9.574468085106384
SESI CLUBE DO TRABALHADOR,9.019947961838682
HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,7.583417593528817
CHECKUP HOSPITAL LTDA,7.575757575757576
MATERNIDADE ANA BRAGA,7.514450867052023
UNIVERSIDADE PAULISTA / UNIP,4.4254908271644675
WF CONTROL,3.6036036036036037
MATERNIDADE AZILDA MARREIRO,3.4482758620689653
MATERNIDADE MUNICIPAL DR MOURA TAPAJOZ,3.3707865168539324
HOSPITAL FRANCISCA MENDES,3.125
SAMEL - BOULEVARD ÁLVARO MAIA,3.125
BALNEÁRIO DO SESC,3.0848907903625307
HOSPITAL SANTA JULIA,2.9213483146067416
MATERNIDADE NAZIRA DAOU,2.8169014084507045
HOSPITAL GERAL DE MANAUS,2.5423728813559325
SAMEL - JOAQUIM NABUCO,1.8518518518518516
SHOPPING PHELIPPE DAOU,1.5158077089649198
CENTRAL DE REGULAÇÃO SAMU 192 REGIONAL MANAUS,1.1194029850746268
HOSPITAL ADVENTISTA DE MANAUS,0.2680965147453083
