vaccination_site,count
USF L- CLÍNICA DA FAMÍLIA SENADOR SEVERIANO NUNES,240
HOSPITAL E P S DA CRIANÇA DA ZONA OESTE,122
HOSPITAL DHELPHINA AZIZ,116
HOSPITAL UNIVERSITARIO GETULIO VARGAS,89
HOSPITAL E PRONTO SOCORRO DR.ARISTOTELES PLATAO ARAUJO,77
HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,68
HOSPITAL E PRONTO SOCORRO DA CRIANCA ZONA SUL,64
FUNDACAO DE MEDICINA TROPICAL,49
SPA ALVORADA,43
USF LEONOR DE FREITAS,42
SPA ELIAMEME MADY,32
SPA SAO RAIMUNDO,29
USF MJ PM SÁLVIO BELOTA,28
USF DEODATO DE M. LEÃO,26
USF ALFREDO CAMPOS,25
UPA JOSE RODRIGUES,25
SPA COROADO,24
UBS MORRO DA LIBERDADE,24
USF ARTHUR VIRGILIO,22
UBS THEODOMIRRO GARRIDO,20
USF SANTOS DUMONT,20
SPA JOVENTINA DIAS,19
HOSPITAL E PRONTO SOCORRO JOÃO LÚCIO PEREIRA MACHADO,19
UBS DR. LUIZ MONTENEGRO,18
USF GEBES MEDEIROS,18
USF IVONE LIMA,17
SPA E POLICLINICA DR JOSE LINS,15
USF DR. AUGIAS GADELHA,15
SPA ZONA SUL,14
USF BALBINA MESTRINHO,14
FUNDACAO CECON,12
UBS Theomário Pinto da Costa,12
SPA DANILO CORREA,12
USF AMAZONAS PALHANO,10
UBS José Rayol dos Santos,9
USF CF CARMEN NICOLAU,7
USF CF CARLSON GRACIE,7
USF LEONOR BRILHANTE,7
UBS NILTON LINS,7
UPA 24HS CAMPOS SALES,4
