vaccination_site,count
SESI CLUBE DO TRABALHADOR,35912
BALNEÁRIO DO SESC,33524
UNIVERSIDADE PAULISTA / UNIP,32034
CENTRO CULTURAL DOS POVOS DA AMAZÔNIA,31476
DETRAN (PÁTIO),25008
SAMBÓDROMO,16877
CENTRO DE CONVIVÊNCIA PADRE PEDRO VIGNOLA,13688
SHOPPING PHELIPPE DAOU,11382
HOSPITAL PORTUGUES,7020
ESCOLA DE ENFERMAGEM DA UFAM,4002
EM DOMICÍLIO,1841
HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,982
FUNDACAO DE MEDICINA TROPICAL,967
HOSPITAL DHELPHINA AZIZ,724
HOSPITAL UNIVERSITARIO GETULIO VARGAS,621
HOSPITAL E PRONTO SOCORRO JOÃO LÚCIO PEREIRA MACHADO,571
UBS PAU ROSA CNES 3809757,455
HOSPITAL E PRONTO SOCORRO DR. ARISTOTELES PLATAO ARAUJO,422
HOSPITAL SANTA JULIA,402
HOSPITAL E PRONTO SOCORRO DA CRIANCA ZONA SUL,399
HOSPITAL ADVENTISTA DE MANAUS,381
HOSPITAL E PRONTO SOC. DA CRIANÇA DA ZONA LESTE / JOÃOZINHO,324
UBS NOSSA SRA DE FÁTIMA CNES 2016109,297
POLO BASE NOSSA SENHORA DA SAUDE,285
CENTRAL DE REGULAÇÃO SAMU 192 REGIONAL MANAUS,276
UBS ANTÔNIO LEVINO (RIO AMAZONAS) CNES 9518924,254
UBS NEY LACERDA (RIO NEGRO) CNES 2016160,252
UBS ADA VIANA CNES 3809706,203
UBS EFIGÊNIO SALES CNES 6355226,194
UBS NOSSA SRA AUXILIADORA CNES 2016079,193
UBS SÃO PEDRO CNES 3808807,190
HOSPITAL E P S DA CRIANÇA DA ZONA OESTE,189
MATERNIDADE ANA BRAGA,171
SPA ALVORADA,158
SPA SAO RAIMUNDO,151
UBS NOSSA SRA DO LIVRAMENTO CNES 20161117,144
UBS NILTON LINS,143
SPA JOVENTINA DIAS,142
USF LEONOR DE FREITAS,138
CHECKUP HOSPITAL LTDA,132
SPA COROADO,130
UPA JOSE RODRIGUES,128
SPA E POLICLINICA DR JOSE LINS,121
FUNDAÇÃO DOUTOR THOMAS,120
HOSPITAL GERAL DE MANAUS,118
SPA ZONA SUL,118
WF CONTROL,111
SPA DANILO CORREA,109
FUNDACAO CECON,107
SPA ELIAMEME MADY,99
USF MJ PM SÁLVIO BELOTA,97
HOSPITAL FRANCISCA MENDES,96
INSTITUTO DA MULHER DONA LINDU,93
ESCOLA MUNICIPAL ELVIRA BORGES,93
HOSPITAL DE AERONAUTICA DE MANAUS,89
MATERNIDADE BALBINA MESTRINHO,78
USF ALFREDO CAMPOS,75
MATERNIDADE NAZIRA DAOU,71
UBS MORRO DA LIBERDADE,68
USF GEBES MEDEIROS,67
USF BALBINA MESTRINHO,65
SAMEL - BOULEVARD ÁLVARO MAIA,64
USF DR. AUGIAS GADELHA,63
HOSPITAL E MATERNIDADE CHAPOT PREVOST,60
UPA 24HS CAMPOS SALES,55
USF SANTOS DUMONT,55
MORHAN-MOVIMENTO DE REINT DAS PESSOAS ATINGIDAS PELA HANSENIASE,54
UBS JOSÉ FIGLIUOLO,54
SAMEL - JOAQUIM NABUCO,54
USF ARTHUR VIRGILIO,52
MATERNIDADE ALVORADA,50
UBS DR. LUIZ MONTENEGRO,49
UBS JOSÉ RAYOL DOS SANTOS,49
USF CF CARMEN NICOLAU,47
CDCC-CONSELHO DO DESENVOLVIMENTO COMUNITÁRIO DO COROADO,46
UBS THEOMÁRIO PINTO DA COSTA,44
UBS THEODOMIRRO GARRIDO,44
CENTRO DE CONVIVÊNCIA DO IDOSO,43
USF IVONE LIMA,41
USF LEONOR BRILHANTE,41
USF AMAZONAS PALHANO,40
ABRIGO MOACYR ALVES,39
MATERNIDADE MUNICIPAL DR MOURA TAPAJOZ,39
ESCOLA CENTRO EDUCACIONAL POSITIVIANO,38
USF DEODATO DE M. LEÃO,36
ESCOLA MUNICIPAL GOVERNADOR DANILO DE MATOS AREOSA,36
CENTRO DE CONVIVÊNCIA DA FAMÍLIA WARAO,33
USF MEGUMO KADO,30
CLUBE DE MÃES MANOA,30
POLI CASTELO BRANCO,29
MATERNIDADE AZILDA MARREIRO,29
UBS FREI VALÉRIO,28
MINI VILA OLIMPICA JAIR SAMPAIO,28
ESCOLA MUNICIPAL JARLECE DA CONCEIÇÃO ZARANZA,28
USF O 46,26
USF CF CARLSON GRACIE,25
ESCOLA MUNICIPAL FRANCISCO MAIA AMORIM,25
UBS ARTHUR VIRGILIO,23
IGREJA CATÓLICA SÃO JOSE OPERÁRIO,21
CASA GENE MANAUS,21
