vaccine_date,trend_3_days
21/01/2021,889
22/01/2021,915
23/01/2021,3998
24/01/2021,3858
25/01/2021,2827
26/01/2021,3954
27/01/2021,2730
28/01/2021,2463
29/01/2021,928
30/01/2021,622
31/01/2021,374
01/02/2021,323
02/02/2021,215
03/02/2021,177
04/02/2021,170
05/02/2021,203
06/02/2021,318
07/02/2021,562
08/02/2021,244
09/02/2021,155
10/02/2021,120
11/02/2021,173
12/02/2021,268
13/02/2021,439
14/02/2021,780
15/02/2021,1140
16/02/2021,1306
17/02/2021,1035
18/02/2021,1218
19/02/2021,1310
20/02/2021,1531
21/02/2021,2468
22/02/2021,2545
23/02/2021,2407
24/02/2021,1621
25/02/2021,1857
26/02/2021,1846
27/02/2021,2078
28/02/2021,3159
01/03/2021,669
02/03/2021,331
03/03/2021,206
04/03/2021,184
05/03/2021,171
06/03/2021,189
07/03/2021,300
08/03/2021,672
09/03/2021,2189
10/03/2021,764
11/03/2021,376
12/03/2021,258
13/03/2021,223
14/03/2021,345
15/03/2021,306
